Submit_ID,Brand_Reg,Model_No,SoldIn,screensize,Screen_Tech,Avg_mode_power,Energy,Availability Status,Star2,Screen_Size2
149438,LG,86UQ901C0SD,"Australia,New Zealand",217.425,LCD (LED),250,915,Available,4,217
149437,LG,75UQ901C0SD,"Australia,New Zealand",189.275,LCD (LED),165,605,Available,5,189
149436,LG,65UQ901C0SD,"Australia,New Zealand",163.897,LCD (LED),148,543,Available,4,164
149435,LG,55UQ901C0SD,"Australia,New Zealand",138.783,LCD (LED),114,419,Available,4,139
149434,LG,50UQ901C0SD,"Australia,New Zealand",125.727,LCD (LED),90,331,Available,4,126
149433,LG,43UQ901C0SD,"Australia,New Zealand",107.987,LCD (LED),75,276,Available,3.5,108
149426,TCL,55RP630,"Australia,Fiji,New Zealand",138.711,LCD (LED),41.8,190,Available,7,139
149425,TCL,65RP630,"Australia,Fiji,New Zealand",163.829,LCD (LED),49.7,220,Available,8,164
149423,KOGAN,KAOLED65X2SKA,"Australia,Fiji,New Zealand",164.249,OLED,113.4,586,Available,4,164
149422,KOGAN,KAOLED55X2SKA,"Australia,Fiji,New Zealand",138.554,OLED,90.1,424,Available,4,139
149418,LINSAR,LSK55WSFW,"Australia,Fiji,New Zealand",138.783,LCD,62.5,272,Available,6,139
149387,VEON,VNG22F6522,New Zealand,163.829,LCD (LED),128.1,520,Available,4.5,164
149386,VEON,VNG22F7522,New Zealand,189.344,LCD (LED),175.6,650,Available,4.5,189
149339,FURRION,FDFD24D4D,"Australia,Fiji,New Zealand",60.47,LCD,31.98,120,Available,3.5,60
149327,ENGLAON,Smart LED TV,Australia,80.784,LCD (LED),38.46,148,Available,4.5,81
149326,LINSAR,LS82UHDNF2,"Australia,Fiji,New Zealand",207.217,LCD,170.6,630,Available,5.5,207
149267,BLAUPUNKT,BP85WOS,Australia,214.783,LCD,203.32,743,Available,5,215
149255,HISENSE,98U7H series,"Australia,New Zealand",247.695,LCD (LED),256.93,1028,Available,5,248
149246,HISENSE,65X9HAU,"Australia,New Zealand",163.896,OLED,108.3,459,Available,5,164
149245,HISENSE,55X8HAU,"Australia,New Zealand",138.783,OLED,78.58,319,Available,5,139
149244,HISENSE,65X8HAU,"Australia,New Zealand",163.896,OLED,92.33,369,Available,6,164
149243,HISENSE,75U80HAU,"Australia,New Zealand",189.274,LCD (LED),243.11,955,Available,3,189
149241,HISENSE,65U9HAU,"Australia,New Zealand",163.896,LCD (LED),168.67,649,Available,3.5,164
149209,EKO,K500USG,Australia,125.251,LCD,102.36,376,Available,3.5,125
149174,BLAUPUNKT,BP750USG9700,Australia,188.424,LCD,221.6,811,Available,3.5,188
149170,EKO,K400DVD,Australia,100.332,LCD,47.02,175,Available,5,100
149165,METZ,65MXD9500N,New Zealand,164.249,OLED,113.4,586,Available,4,164
149164,METZ,55MXD9500N,New Zealand,138.554,OLED,90.1,424,Available,4,139
149055,ENGLAON,Smart LED TV,Australia,100.722,LCD (LED),36.27,140,Available,6,101
149039,VEON,VNG22F5522,New Zealand,138.711,LCD,94.8,350,Available,4.5,139
149035,VEON,VNG22F5022,New Zealand,125.812,LCD (LED),72.1,280,Available,5,126
149034,LG,65AN960H0SD,"Australia,New Zealand",163.897,OLED,87,320,Available,6,164
149033,LG,55AN960H0SD,"Australia,New Zealand",138.783,OLED,70,258,Available,6,139
149024,BLAUPUNKT,BP650USG9700,Australia,163.132,LCD,124.968,512,Available,4.5,163
149021,KOGAN,KALED55RT9230SVA,"Australia,Fiji,New Zealand",138.783,LCD (LED),53.64,247,Available,6,139
149014,EKO,K75USW,Australia,189.34,LCD,228.91,840,Available,3.5,189
149013,EKO,K65USW,Australia,163.896,LCD,111.39,409,Available,5.5,164
149006,EKO,K55USW,Australia,138.783,LCD,96.06,353,Available,4.5,139
148995,EKO,K550USG,Australia,138.798,LCD,93.324,380,Available,4.5,139
148994,EKO,K650USG,Australia,163.132,LCD,124.968,512,Available,4.5,163
148902,CHIQ,L32D6C,"Australia,Fiji,New Zealand",79.967,LCD (LED),30,112,Available,5.5,80
148837,EKO,K320HSG,Australia,80.139,LCD,31.9,118,Available,5.5,80
148834,BLAUPUNKT,BP320HSG9700,Australia,80.139,LCD,31.9,118,Available,5.5,80
148787,BLAUPUNKT,BP400FSG9700,Australia,100.791,LCD,50.5,186,Available,5,101
148780,AKAI,AK5021S6WOS,"Australia,Fiji,New Zealand",125.725,LCD (LED),59.7,220,Available,6,126
148774,LINSAR,LS98UHDNF,"Australia,Fiji,New Zealand",247.695,LCD,214.416,823,Available,6,248
148739,ARK,H24,New Zealand,59.736,LCD,14,53,Available,7,60
148709,SVISION,SC32HSG,Australia,80.029,LCD (LED),34.4,151,Available,4,80
148700,JVC,AV-H437115A11,"Australia,Fiji",107.912,LCD,73,269,Available,4,108
148696,JVC,NA,"Australia,Fiji",138.412,LCD,102,375,Available,4.5,138
148694,JVC,NA,"Australia,Fiji",163.132,LCD,124.968,512,Available,4.5,163
148693,JVC,LT-40N5115A11,Australia,100.791,LCD,36.7,186,Available,5,101
148691,JVC,NA,"Australia,Fiji",80.139,LCD,31.9,118,Available,5.5,80
148621,DECAMAX,WY55F1F-EU,New Zealand,138.666,LCD (LED),106.68,430,Available,3.5,139
148618,SMARTTECH,SMT-F40T1,"Australia,Fiji,New Zealand",100.305,LCD (LED),35.9,151,Available,6,100
148615,HISENSE,65U8H series,"Australia,New Zealand",163.896,LCD (LED),159.55,638,Available,3.5,164
148614,HISENSE,55U8H series,"Australia,New Zealand",138.783,LCD (LED),115.84,476,Available,3.5,139
148613,SMARTTECH,SMT-H32T1,"Australia,Fiji,New Zealand",79.967,LCD (LED),25.8,110,Available,5.5,80
148597,BLAUPUNKT,BP550USG9700,Australia,138.798,LCD,93.324,380,Available,4.5,139
148595,BAUHN,ATV70UHDT-1022,"Australia,Fiji,New Zealand",176.545,LCD,97.8,420,Available,6,177
148581,SPHERE,S8LED238S,"Australia,New Zealand",60.47,LCD (LED),26.67,100,Available,4,60
148579,SPHERE,S8LED215 series,"Australia,New Zealand",54.687,LCD (LED),24.81,93,Available,4,55
148569,SIGNIFY,EA2277,"Australia,New Zealand",138.783,LCD (LED),98.268,378,Available,4.5,139
